i,j,energy
139,120,42281
125,126,3746
38,140,41673
52,141,7
127,122,132182
136,118,24977
173,114,87073
84,139,8005
21,137,15764
158,111,33895
126,121,55613
178,110,17867
136,122,25940
22,135,36407
118,125,12809
35,139,44
175,106,10
156,116,35482
133,123,21566
160,112,37412
99,135,18126
237,120,1801
28,140,870
236,120,2393
210,107,4772
227,110,53265
202,101,59712
33,142,1359
244,120,247
93,134,49859
247,129,18630
14,130,1560
121,125,21579
8,128,2001
21,138,49204
246,126,33299
171,111,11277
4,126,3755
165,110,47882
159,114,16927
109,132,11635
133,124,2153
50,144,6546
136,123,2174
97,132,1774
194,103,768
205,106,38539
113,126,40864
94,137,3533
2,124,31276
118,128,15283
80,139,118390
152,112,1248
187,107,224
227,114,55558
22,138,20768
227,115,2716
75,138,853
104,138,13132
53,147,38
125,127,1637
133,125,19403
54,147,12728
191,110,8664
125,128,1297
184,109,21
14,136,215
228,110,37746
165,113,4194
33,143,13587
13,134,47626
119,127,12971
183,109,2
128,125,3397
180,103,3177
43,142,13046
136,117,28
77,141,1437
57,140,960
105,137,5581
46,148,988
73,139,743
153,116,221
74,143,59827
245,126,22526
244,126,34460
54,148,5958
115,129,25716
84,140,2473
146,120,10821
201,108,20484
213,107,16393
141,116,19528
168,108,4766
191,105,12010
52,147,30607
208,108,49126
107,132,47152
174,107,10039
46,149,58723
128,126,2679
87,136,4989
211,106,16556
98,137,7151
204,102,11099
34,137,7605
129,122,449
156,117,52
90,134,1139
204,104,33
124,122,35982
12,134,15843
126,120,2609
12,135,5127
2,123,5337
107,133,9554
15,130,30620
82,139,63339
189,106,5282
178,107,19876
220,109,1806
115,127,41807
249,129,8212
184,104,3153
226,109,957
51,141,161
174,106,45023
129,126,47304
164,110,12915
166,110,41304
16,138,61716
190,105,34279
244,127,2958
248,130,7064
244,128,16231
59,140,229
32,136,21535
184,103,27274
184,105,5221
203,100,16422
91,135,14737
192,102,5973
143,115,74012
165,109,34364
157,116,36485
154,116,5567
32,142,5369
133,120,51856
231,113,13405
116,130,37062
39,145,293
160,115,3598
117,125,25586
134,125,48798
58,143,21030
175,105,31048
81,139,85
14,129,9992
105,138,4532
